final algo,Song Id,Song,name_of_song,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skewness,spectral_constrast_mean0,spectral_constrast_mean1,spectral_constrast_mean2,spectral_constrast_mean3,spectral_constrast_mean4,spectral_constrast_mean5,spectral_constrast_mean6,spectral_contrast_std0,spectral_contrast_std1,spectral_contrast_std2,spectral_contrast_std3,spectral_contrast_std4,spectral_contrast_std5,spectral_contrast_std6,spectral_rolloff_mean,spectral_rolloff_std,spectral_rolloff_skewness,zero_crossing_rate_mean,zero_crossing_rate_std,zero_crossing_rate_skewness,tempo
Class_Ha,1,9 se 12,9_se_12.mp3,0.215644859,0.121600376,0.12251345,0.136553274,0.134336033,0.153039107,0.175788796,0.269336891,0.392027555,0.412229482,0.381963106,0.297708923,0.132841248,0.111086566,0.114699112,0.154567506,0.158854988,0.14433531,0.160092705,0.130107865,0.099125976,0.079564358,0.10408529,0.139098522,-88.57559031,89.38518372,10.59639269,22.53533436,5.64132334,17.11811905,1.888161508,15.16619379,3.395829713,13.26334081,2.613118473,6.875327048,0.592283338,67.30129813,24.04457124,21.6406982,15.48098851,16.61000663,14.86924132,12.94725175,11.40112756,10.13176956,11.73661296,9.202369868,9.473355248,9.922606448,2083.498062,757.6573618,1.021739735,26.39723234,16.40751033,21.95496361,21.90807605,21.13241264,18.47993565,34.1099008,5.868459027,4.458933712,5.105242635,5.099343749,4.802850324,3.190831385,2.937462446,4936.265984,1774.171509,-0.175959572,0.037101061,0.03036232,2.043853616,129.1992188
Class_Ha,2,Aa to sahi - judwa 2,aa_to_sahi__judwa_2.mp3,0.403836949,0.344587083,0.267600649,0.188521956,0.133988626,0.07344422,0.068784914,0.146570656,0.268683458,0.300897963,0.319999289,0.360589735,0.132098187,0.140091418,0.109911198,0.139171489,0.130982215,0.087735992,0.06882102,0.11417105,0.132939337,0.105782843,0.111834011,0.117426025,-91.30424662,70.26843684,13.22810275,1.922433826,1.422847631,10.4324505,-1.817967738,2.916022484,-6.280106173,7.233192885,-5.54617237,6.490932801,2.85177729,70.80653283,27.07513706,19.91697745,18.25845286,13.50891774,18.57245806,14.90971211,12.33159669,12.16505219,10.35554791,10.15364239,10.36667726,10.5750427,2912.405279,790.2588329,0.913908084,25.1390665,18.48084331,23.70756114,21.89034534,21.99096634,19.70830863,33.88889115,6.344804687,5.975861125,5.663043822,4.672280207,4.638489378,4.105326671,2.18110639,6786.079799,1330.095195,-0.925364404,0.077864797,0.053097326,1.457724099,135.9991776
Class_Ca,3,Aadat - Atif Aslam,aadat__atif_aslam.mp3,0.247671455,0.217804625,0.218751126,0.2053729,0.178505538,0.178497613,0.257051166,0.342592161,0.301596979,0.253112409,0.225876446,0.276045279,0.199909999,0.150310201,0.132944362,0.146421634,0.101883333,0.130950621,0.115804867,0.143455451,0.153631135,0.158079616,0.189917378,0.154668443,-98.87881361,88.0668408,8.627116759,30.2474908,6.478027688,8.073449697,1.656021324,-0.166700418,-5.325384401,7.493397164,-8.383165886,5.797004399,-9.000761621,66.67608224,32.63657182,26.84065511,18.0061185,19.04343488,13.45897408,12.14170148,9.717892145,10.47824281,10.91619606,11.25541653,10.35078048,7.489996081,2337.281649,850.7737825,1.013730779,27.16056703,19.7686868,26.41150327,23.15369459,23.33392583,23.16149373,35.89884932,6.283399531,4.707557515,5.916562663,5.630851464,5.679794945,6.788233584,4.795704993,4952.390887,1655.019538,0.104542882,0.085818075,0.067215031,2.339036204,103.359375
Class_Ha,4,Aaj blue hai Paani Paani,aaj_blue_hai_paani_paani.mp3,0.114896322,0.117040468,0.160783802,0.193711897,0.214015055,0.225795323,0.256386964,0.367706864,0.516384468,0.432855517,0.279147908,0.129907193,0.048712274,0.062275287,0.054731864,0.045229062,0.048324025,0.063180924,0.097100138,0.088187096,0.091012859,0.11056155,0.052001777,0.071719125,-71.53404098,75.25679863,-6.022102153,15.97912436,8.90051918,10.27533195,2.657548658,12.49756454,0.628007974,7.42751614,-0.885837836,6.80544242,-3.321526183,61.24946287,26.65924056,22.24325759,21.14033668,16.39175397,18.94842524,12.42348593,11.88142478,13.42720572,11.87470846,12.10470763,9.950136671,8.274575709,2475.08491,742.0880073,0.502852089,26.46304193,17.66658915,21.75545983,20.60950106,20.12937728,19.36466026,34.04553237,5.836403032,4.648074618,4.676698156,4.454349546,4.29060564,4.665721854,2.807099334,5531.399886,1588.003891,-0.459220784,0.054947891,0.047250096,1.624876891,103.359375
Class_Ex,5,Aaj dekhe jara kisme kitna hai dum,aaj_dekhe_jara_kisme_kitna_hai_dum.mp3,0.202097025,0.279744757,0.317746894,0.291690272,0.231481417,0.238305064,0.222242222,0.233076801,0.26383873,0.252529436,0.203078037,0.171695259,0.144946461,0.172618621,0.152105241,0.140444221,0.120874207,0.143940902,0.129190571,0.150377249,0.197448156,0.141887899,0.174162123,0.13751853,-283.7231189,195.4954881,-90.9625419,12.58703587,-9.685556899,-18.45348111,-3.632746643,-14.26118992,-6.784429507,-9.758400722,-4.720650115,-5.997374436,-6.914376699,25.18856544,17.32563586,14.152715,13.5595945,10.11386749,7.591407031,8.432565074,7.234954065,6.831088928,8.955783353,8.435610462,8.401441921,9.365584725,1263.883884,177.7022225,0.440044826,30.20408727,16.90248544,21.95718712,22.24476004,22.59749938,26.37124257,41.21796505,7.355841239,4.480564066,4.679667786,3.876784524,3.524003407,3.028551411,3.436760274,2163.932748,326.2277461,0.524678992,0.084183731,0.022964874,0.577217765,89.10290948
Class_Ca,6,Aaj din chadeya,aaj_din_chadeya.mp3,0.142296141,0.203744774,0.186097989,0.198500186,0.249407832,0.199268882,0.164528795,0.187587834,0.364123255,0.435998832,0.301891383,0.172574007,0.108471384,0.150297255,0.181403281,0.134917491,0.140697892,0.123800754,0.173827772,0.142349758,0.146611104,0.161982662,0.138067748,0.136270819,-99.99455719,120.5889801,0.418129339,26.40876882,0.688663371,5.452631079,9.130461183,-0.303601106,-3.346006939,14.62860877,-5.182185839,0.500263361,-0.366233952,42.48815522,27.69056321,23.55245655,13.20295213,13.05831384,10.75277216,12.8376259,7.78203657,10.20155496,11.31973559,8.252867038,8.29566021,9.543680756,1808.509836,565.9548449,0.846273973,27.81404275,20.39378446,24.36863197,23.80263586,23.22081173,24.17515499,35.78811425,5.641712906,4.540159759,4.396799465,4.203177449,4.292002846,5.094751061,3.902607379,3921.034623,1569.82063,0.862035589,0.061017772,0.02636631,1.027762468,86.1328125
Class_Ca,7,Aaj jaane ki jid na karo,aaj_jaane_ki_jid_na_karo.mp3,0.269877278,0.249529896,0.272083461,0.302650852,0.205434007,0.125799118,0.117487927,0.159260657,0.170276744,0.249172248,0.304585172,0.297528871,0.214112418,0.170729548,0.171118606,0.206215146,0.125405162,0.134312436,0.129089263,0.154012447,0.165756453,0.158264974,0.197723111,0.130901205,-202.4909411,128.486679,18.03972633,15.45770994,9.694552946,8.829835852,-3.946567749,-1.839790608,-12.97634969,-0.131847357,-2.913782555,-1.430910475,-2.554609026,59.81007314,27.41712762,18.9279773,15.19490816,12.78289315,11.17144602,12.01479685,10.47344549,12.18994552,12.03810432,10.6643051,9.406407551,10.96173821,1502.569362,589.4060331,2.149134776,30.96017091,24.39460768,27.32115489,25.72708216,25.31131271,23.9286335,34.26255155,5.590599004,4.794494507,4.648586322,5.17966915,5.81054937,5.13085267,3.597514339,3060.606493,1757.326469,1.24229251,0.043483108,0.021713463,1.330372166,103.359375
Class_Ha,8,Aaj se teri - Padman,aaj_se_teri__padman.mp3,0.112154826,0.116004,0.15148144,0.18955856,0.251242105,0.200872979,0.200585873,0.325520458,0.415113627,0.397599318,0.287444455,0.209628303,0.095616382,0.127757821,0.137929336,0.139373543,0.174774492,0.132267399,0.129885192,0.131803839,0.127404594,0.139493613,0.106207431,0.12358779,-70.91293681,102.6419797,3.48014405,9.904146755,1.742530042,2.883990363,-9.795200181,1.29846577,-12.99886445,3.97498709,-1.532317566,-1.95960853,-8.38973719,50.56988182,26.04740498,17.59900906,12.25088175,15.86825001,9.897115058,13.36360313,9.804259666,12.0198129,10.5071747,9.577757398,7.329090678,8.003986839,2077.744613,720.5334385,2.55999012,26.53866937,21.78042409,25.97575697,25.10090421,24.37660945,22.12470017,33.21430759,6.267325241,4.846571076,4.967832205,4.067538802,4.527143172,4.13450396,3.236221176,4568.918206,1648.766296,0.591097689,0.055785566,0.020502505,0.880127351,161.4990234
Class_An,9,Aaja aaja dili chode,aaja_aaja_dili_chode.mp3,0.33593055,0.260410358,0.252924533,0.334653547,0.374723149,0.316797251,0.206686473,0.136692115,0.146415006,0.171951263,0.229810963,0.315282701,0.110480015,0.099643894,0.117213705,0.091285039,0.120822497,0.104060085,0.084564719,0.098676188,0.115946547,0.104220055,0.10232267,0.129126354,-230.2721842,83.66523303,-5.360225463,26.39347542,7.589339068,9.239124475,-1.421365944,8.96621984,2.900464265,8.277852729,1.180876718,5.786297017,-0.823537452,61.89409517,28.92827069,21.94958802,17.98350884,14.58228633,12.48033582,13.57020077,10.73607963,10.74286876,9.236928988,10.2033681,7.674848462,8.241966013,2378.013289,833.9048082,1.150998467,21.03656629,18.60791619,22.21474322,20.18969556,20.55031192,19.23366224,33.37479271,6.908266601,5.217581682,5.556358321,4.047233387,4.34331839,3.148081668,2.935452968,5018.944651,1659.094877,0.248805265,0.082447158,0.051397412,2.371248984,123.046875
Class_An,10,Aami j tumharo,aami_j_tumharo.mp3,0.208946662,0.223552507,0.288008886,0.294819739,0.213429784,0.168800987,0.205157698,0.303981352,0.316582767,0.289138098,0.285549025,0.256685551,0.145018161,0.125959883,0.123073371,0.161671026,0.125643346,0.095643655,0.104607717,0.141198763,0.150327507,0.098704919,0.139643382,0.104260846,-123.9358833,54.21121159,8.933341207,30.39688102,-0.505142733,-3.355552642,-1.823360839,-2.672747411,-6.532816302,1.30186084,-9.076143903,4.16396107,-2.544528171,43.67515545,20.05252232,17.06534608,14.1262855,11.89908936,15.91536916,11.63007399,10.63653391,10.31602167,9.510655582,8.284269149,9.240823859,10.57316568,3271.228094,615.867267,1.681871422,26.85518398,16.74345184,24.2389986,23.27992509,23.16457397,20.99599884,34.11100118,5.493246946,4.366290512,4.97059414,4.642926622,5.151132799,3.929155611,2.933553855,6834.492006,1005.644684,-0.102075679,0.117053903,0.044472057,0.59437695,117.4538352
